business_id,categories,name,address,city,state,postal_code,stars,review_count,is_open,TypeCuisine
gnKjwL_1w79qoiV3IC_xQQ,"Sushi Bars, Restaurants, Japanese",Musashi Japanese Restaurant,"10110 Johnston Rd, Ste 15",Charlotte,NC,28210,4.0,170,1,Japanese
BvYU3jvGd0TJ7IyZdfiN2Q,"Sandwiches, Italian, American (Traditional), American (New), Seafood, Steakhouses, Restaurants",Manzetti's Tavern,6401 Morrison Blvd,Charlotte,NC,28211,3.5,16,0,Italian
_J_x_RaYTqAqAuCwgRhnRQ,"Coffee & Tea, Hookah Bars, Nightlife, Persian/Iranian, Country Dance Halls, Middle Eastern, Beer, Wine & Spirits, Bars, Restaurants, Food, Lounges, Delis",Kabob House,6432 E Independence Blvd,Charlotte,NC,28212,3.0,15,0,Mediterranean
U3kygJOTlTQFlfaZS7sQjA,"Caterers, Hot Dogs, Restaurants, Vegetarian, American (Traditional), Event Planning & Services",JJ's Red Hots - Dilworth,1514 East Blvd,Charlotte,NC,28203,4.0,380,1,American
CsLQLiRoafpJPJSkNX2h5Q,"Food, Grocery, Restaurants, Middle Eastern",Middle East Deli,4508 E Independence Blvd,Charlotte,NC,28205,3.0,5,0,Mediterranean
Ye6Bdtw2lq5Y6FeX-p377Q,"Vegan, Soul Food, Restaurants, Food, Juice Bars & Smoothies",Veltree,"7945 N Tryon St, Unit 110",Charlotte,NC,28262,4.5,7,1,American
xHZmM-kGXqOfmQNTm0T05g,"Burgers, Italian, Beauty & Spas, Wine Bars, Barbers, Peruvian, American (Traditional), Bars, Gastropubs, Diners, Salad, Specialty Food, Restaurants, American (New), Nightlife, Cafes, Food",Circles Grill and Market,8129 Ardrey Kell Rd,Charlotte,NC,28277,4.0,27,0,LatinAmerican
GiTv0gFXtYFQAzCXnPvepQ,"Restaurants, American (Traditional), American (New), Tex-Mex, Bars, Nightlife",Chili's,5521 Westpark Dr,Charlotte,NC,28217,2.5,48,1,American
ZBE-H_aUlicix_9vUGQPIQ,"Bars, Restaurants, Sports Bars, Chicken Wings, American (Traditional), Nightlife",Hickory Tavern,9010 Harris Corners Pkwy,Charlotte,NC,28269,3.0,100,1,American
RGK23CEkDfYHWtUbRhA-bQ,"Burgers, Restaurants, American (New), Bars, American (Traditional), Nightlife",The Turnhouse Grille,"1600 E Woodlawn Rd, Ste 100",Charlotte,NC,28209,4.5,102,1,American
zUHIDqm_UKdnSygmWKtyRg,"Delis, Restaurants",Food Lion,3207 Eastway Dr,Charlotte,NC,28205,3.0,5,1,American
CGUK3cd2gxp2q3KPY19Oog,"Breakfast & Brunch, Restaurants, Coffee & Tea, Cafes, Food",Roots Cafe,"2135 Southend Dr, Ste 109",Charlotte,NC,28203,4.0,104,1,American
uwpPniaFEVkK5T_PWdQZ0A,"Breakfast & Brunch, Restaurants, Coffee & Tea, American (Traditional), Food",Le Peep,8140-100 Providence Rd,Charlotte,NC,28277,3.5,134,1,American
TreYsBGjXptogQQmQh1-bg,"Breakfast & Brunch, Greek, American (Traditional), Restaurants, Mediterranean",Showmars - Seventh Street,2004 E 7th St,Charlotte,NC,28204,3.0,37,1,Mediterranean
QEgfK_TKY8bwK-YzKDdkGw,"French, Restaurants",Lumiere French Kitchen,1039 Providence Rd,Charlotte,NC,28207,4.5,140,0,French
3aJEg4C6980DTPQrBHh6qQ,"Restaurants, Delis",Just Fresh,127 N Tryon St,Charlotte,NC,28202,4.5,11,0,American
h1JiQERQeiV8kxv5KRjWYA,"Restaurants, Sandwiches",Fresh Attractions,5501 Josh Birmingham Pkwy,Charlotte,NC,28208,2.5,35,1,American
vlLHfWn-Gyyfnh5Lp_kJsg,"Restaurants, Burgers",Burger King,10102 Johnston Rd,Charlotte,NC,28210,3.0,6,0,American
U8ubLSxnCKRAJRmN1XWZaA,"Steakhouses, Restaurants",Oak Steakhouse Charlotte,4777 Sharon Rd,Charlotte,NC,28210,4.0,102,1,American
uCgHhVx88-23VCZTdh8hxg,"Mediterranean, Greek, Restaurants, Sandwiches, Burgers",Showmars - University,115 McCullough Dr,Charlotte,NC,28262,3.5,56,1,Greek
stCP0pdz5_3i7AAzmt5dSw,"Restaurants, Fast Food, Burgers",Wendys,3700 Wt Harris Blvd,Charlotte,NC,28269,2.0,18,1,American
bJ44rSxMNTAAF_WGI_jDEw,"Italian, Restaurants",AQUA e VINO,"4219 Providence Rd, Ste 3",Charlotte,NC,28211,4.5,48,1,Italian
YzMUZjUMcgI-NSGu48-nIQ,"Nightlife, Desserts, American (New), Food, Wine Bars, Bars, Restaurants, Italian",Dolce Ristorante,"1710 Kenilworth Ave, Ste 203",Charlotte,NC,28203,3.5,166,1,Italian
Pq2kDojfCW8B6s1ABna6ug,"Restaurants, Sushi Bars, American (New)",505e,505 E 6th St,Charlotte,NC,28202,3.5,8,0,American
tdo6JvAKwmMAKU8T5jfORw,"Bars, Nightlife, Italian, Wine Bars, Restaurants",Fidelli Kitchen,"1616 Camden Rd, Ste 100",Charlotte,NC,28203,3.5,84,0,Italian
pCb0jYxksLR562vV7As1bQ,"Delis, Sandwiches, Restaurants, Salad",Chris' Deli,3619 E Independence Blvd,Charlotte,NC,28205,4.5,69,1,American
pOoTOFxOh3UH03par0xEBg,"Food Trucks, Mexican, Restaurants, Food",SoCal Taco Stand,312 S Tryon St,Charlotte,NC,28202,4.0,17,0,Mexican
n-BoGXG2NItNbr_PMtIRBg,"Italian, Restaurants, Event Planning & Services, Pizza, Caterers",Amalfi's Pasta 'n' Pizza,8542 University City Blvd,Charlotte,NC,28213,3.5,81,1,Italian
S7JAMTags6lWb2Q3Nd2IKA,"Restaurants, Barbeque, Bars, Nightlife, Whiskey Bars",Treehouse Bourbon & BBQ,4423 Sharon Rd,Charlotte,NC,28211,4.0,4,1,American
tjAeaGdxf7I4xN9M7wGJNQ,"Vegetarian, Gluten-Free, Food, Restaurants, Pizza, Farmers Market",Pure Pizza,224 E 7th St,Charlotte,NC,28202,4.0,259,1,American
9Zhiktm7_LYN_uxaT9XEhg,"Restaurants, Chinese",The Wok,11508 Providence Rd,Charlotte,NC,28277,3.5,46,1,Chinese
sHIG0hjQHoxal9a1zwSinw,"Ethiopian, Restaurants",Abugida Ethiopian Cafe & Restaurant,3007 Central Ave,Charlotte,NC,28205,5.0,98,1,African
9p80iZvVnZdw9U5wtDyp4Q,"Sandwiches, Food, Meat Shops, Restaurants, Event Planning & Services, Delis, Cafes, Caterers, Specialty Food",Honey Baked Ham Company,303 E Woodlawn Rd,Charlotte,NC,28217,3.5,13,1,American
BpW65jN4yscndnTsdyzoHQ,"Caterers, Event Planning & Services, Restaurants, Food, Food Stands, Arts & Crafts, Shopping, Cooking Classes, Food Trucks",Roots Catering,3410 St Vardell Ln,Charlotte,NC,28217,4.0,36,1,American
cZ86R4KIvSuTZiC5U4mhFg,"Food Stands, Restaurants, Food, Street Vendors",Goody Woody's,3016 Attaberry Dr,Charlotte,NC,28205,4.0,6,0,American
yIxP32hWfZm5gyYUUh2WBA,"American (New), Wine Bars, Restaurants, Bars, Seafood, Nightlife",Bonterra Restaurant & Wine Room,1829 Cleveland Ave,Charlotte,NC,28203,3.5,139,1,American
ZCXjNG1EBFiKKMtR9DOTGg,"Seafood, Bars, Nightlife, Restaurants, Thai",Thai House - University,"230 E Wt Harris Blvd, Ste B9",Charlotte,NC,28262,4.0,314,1,American
xFSCaBlcnDXSGFPUtYtuXA,"Restaurants, Chicken Wings, Sandwiches, Pizza",Fuel Pizza,"214 N Tryon St, Ste 130",Charlotte,NC,28202,2.5,74,1,American
KEGLWeFAWXvo0W2LnujhtQ,"Vietnamese, Restaurants",Lang Van Vietnamese,3019 Shamrock Dr,Charlotte,NC,28215,4.5,345,1,Vietnamese
8fB3OodPzYuagvnEWzULeA,"Restaurants, Pizza",Hungry Howie's Pizza,"10039 University City Blvd, Ste C",Charlotte,NC,28262,2.5,15,1,American
