business_id,categories,name,address,city,state,postal_code,stars,review_count,is_open,TypeCusine
OwXMxqxIy4YoprAjnoUoiA,"Barbeque, Restaurants",B & M Bar-B-Que Shaw,12700 Shaw Ave,Cleveland,OH,44108,3.5,4,1,American
3e0IGa_-zqTemKLc1dbdmg,"Restaurants, Taiwanese",Phusion Cafe,11611 Euclid Ave,Cleveland,OH,44106,3.5,17,1,Chinese
lK-wuiq8b1TuU7bfbQZgsg,"Flowers & Gifts, Art Galleries, Coffee & Tea, Arts & Entertainment, Food, Cafes, Museums, Restaurants, Local Flavor, Shopping Centers, Shopping, Florists",Hingetown,,Cleveland,OH,44113,3.0,4,1,American
Gj8ANgQ6FcWdhrpEwUsxqQ,"Mexican, Puerto Rican, Caribbean, Restaurants",El Taino,3038 Scranton Rd,Cleveland,OH,44113,2.5,4,0,Caribbean
NbjeMaUoYT_XUB8PWnwLkw,"Restaurants, Pizza",Pizza Pan,2401 Scranton Rd,Cleveland,OH,44113,2.0,5,0,American
TokG1L02Eic6gHRFa0gFYQ,"Restaurants, Delis",Biagio Deli & Beverage,5557 Wilson Mills Rd,Cleveland,OH,44143,4.5,9,0,American
9IJ-TE4HEcAJQkUtc1A_Vw,"Restaurants, Asian Fusion, Sushi Bars, Thai",Parallax Restaurant and Lounge,2179 W 11th St,Cleveland,OH,44113,4.0,207,1,Asian
0DapwcHS0YWNeHKptURSCA,"American (Traditional), Restaurants, Bars, Nightlife",Break Time Bar and Grill,15200 Brookpark Rd,Cleveland,OH,44135,2.5,3,0,American
nL4cq4GEz4uiM48nz5E7ug,"Breakfast & Brunch, Restaurants, American (Traditional)",Gus's Family Restaurant,4377 State Rd,Cleveland,OH,44109,4.0,38,1,American
lJtyCOTVInWusU9YF120A,"Italian, Restaurants",Joey's Bistro Bar,2195 Lee Rd,Cleveland Heights,OH,44118,3.5,39,0,Italian
ln-9sGJL8hVjSDwDcwEXWw,"Juice Bars & Smoothies, Restaurants, Sandwiches, Food",U Food Grill,5300 Riverside Dr,Cleveland,OH,44135,2.5,7,1,American
0-jqS5y4D-6Zohb3Q375ZQ,"Nightlife, Asian Fusion, Restaurants, Japanese, Ramen, American (New), Bars",Ninja City Kitchen and Bar,6706 Detroit Ave,Cleveland,OH,44102,4.0,26,1,Japanese
F9JDMhOEDsE0PnutWhGqAQ,"Italian, Chicken Wings, Restaurants, Pizza",Pizza Hut,10616 Lorain Ave,Cleveland,OH,44111,1.0,4,1,Italian
YTNgCm8-TlyLvkBXCGxeMg,"Sandwiches, Restaurants, Fast Food",Subway,3784 W 117th St,Cleveland,OH,44111,3.0,3,1,American
sFz9UyOTZLMAfSP0yyIODQ,"Food, American (New), Brewpubs, Restaurants, Breweries",Thirsty Dog East Bank,1075 Old River Rd,Cleveland,OH,44113,3.0,60,1,American
OOXUDZVOREgjwrLiwr3Spg,"Nightlife, American (Traditional), Sports Bars, Active Life, Arts & Entertainment, Bowling, American (New), Bars, Restaurants, Italian",The Corner Alley at Uptown,11409 Euclid Ave,Cleveland,OH,44106,3.0,49,0,Italian
XUA7xA7myMaCuN6G3xYdIA,"Tex-Mex, Vietnamese, Restaurants",Number One Pho,3120 Superior Ave E,Cleveland,OH,44114,3.5,187,1,Vietnamese
vuC03KldDXReH8VTqRK03g,"Italian, Pizza, Chicken Wings, Restaurants",LaRich's Pizza,797 Bishop Rd,Cleveland,OH,44143,3.5,7,1,Italian
TS4YBX-Wd71lrN6lwKCj0Q,"Caterers, Event Planning & Services, Barbeque, Restaurants, Mediterranean",The Grill On Fulton,3176 Fulton Rd,Cleveland,OH,44109,4.5,3,0,Mediterranean
aOvEr1tluvkmwZjpzfxBAg,"Street Vendors, Food Stands, Restaurants, Food, Cafes, Food Trucks, American (New)",strEat Mobile Bistro,801 W Superior Ave,Cleveland,OH,44113,4.5,20,1,American
zgAh21YWYaZUSEGi_E5SVg,"Restaurants, Mexican",Que Tal Fresh Mexican Grill,1803 Coventry Rd,Cleveland Heights,OH,44118,3.5,8,0,Mexican
HYN6S4Z7bMR68TF2lX3NIw,"Bars, Restaurants, Wine Bars, American (Traditional), Nightlife, Barbeque",Harvard Wine & Grill,14201 Harvard Ave,Cleveland,OH,44128,2.5,10,1,American
Vj-QgRXDpCm7vLBBSckx8g,"Diners, American (Traditional), Salad, Breakfast & Brunch, Burgers, Restaurants",Sammy's Grille,"629 Euclid Ave, Ste 102",Cleveland,OH,44103,4.0,32,0,American
qbDaSyxDfUZNheucJym2Pg,"Seafood, Restaurants, Chinese",Golden Dragon,5871 Mayfield Rd,Cleveland,OH,44124,2.5,42,1,Chinese
C68LYoOSiitXTczAFXjdiQ,"Restaurants, Middle Eastern",Maha's Cafe,3323 W 25th St,Cleveland,OH,44109,4.5,24,0,Mediterranean
Yyag9ZHs0hZ7UIGFC04Vqw,"Restaurants, Dive Bars, Bars, Arts & Entertainment, Music Venues, Nightlife, Breakfast & Brunch",Now That's Class Lounge,11213 Detroit Ave,Cleveland,OH,44102,4.0,49,1,American
mrCOQuRY60xAMkQVSf3nCA,"Irish, Irish Pub, Bars, Restaurants, Pubs, Nightlife",Parnell's Irish Pub,1415 Euclid Ave,Cleveland,OH,44115,4.5,42,1,European
