business_id,categories,name,address,city,state,postal_code,stars,review_count,is_open,TypeCusine
PZ-LZzSlhSe9utkQYU8pFg,"Restaurants, Italian",Carluccio's Tivoli Gardens,"1775 E Tropicana Ave, Ste 29",Las Vegas,NV,89119,4.0,40,0,Italian
tstimHoMcYbkSC4eBA1wEg,"Mexican, Restaurants, Patisserie/Cake Shop, Food, Bars, Nightlife",Maria's Mexican Restaurant & Bakery,6055 E Lake Mead Blvd,Las Vegas,NV,89156,4.5,184,1,Mexican
kANF0dbeoW34s2vwh6Umfw,"Fast Food, Food, Restaurants, Ice Cream & Frozen Yogurt",Dairy Queen,6125 Spring Mountain Rd,Las Vegas,NV,89146,2.0,33,0,American
X8mtoSxY8whtmbDlj0D3Aw,"Restaurants, Chinese",Imperial Asian Buffet,4343 N Rancho Dr,Las Vegas,NV,89030,2.0,4,1,Chinese
bJP4l_BGq2CudEu0m-wNjg,"Restaurants, Pizza, Italian, American (New)",Artisan Fine Dining Room,"Artisan Hotel, 1501 W Sahara Ave",Las Vegas,NV,89102,2.0,3,0,Italian
v7ZFEEqJBg_r8NCwHRP_2A,"Food, Pizza, Wine Bars, Bars, Restaurants, Nightlife",Bistro Divino,241 W Charleston Blvd,Las Vegas,NV,89102,4.5,3,0,American
6fPQJq4f_yiq1NHn0fd11Q,"French, Restaurants, Creperies",La Creperie,3655 Las Vegas Blvd S,Las Vegas,NV,89109,3.5,535,1,French
k-dDZvTeLysoJvjHI-qr9g,"Buffets, Restaurants",Feast Buffet,2411 W Sahara Ave,Las Vegas,NV,89102,3.0,287,1,American
4n81G-pmC3rfhmaPsbwYKg,"Bars, Sports Bars, Nightlife, Beer, Wine & Spirits, Restaurants, Food, American (Traditional)","Vince Neil's Tatuado | Eat, Drink, Party",360 E Tropicana Ave,Las Vegas,NV,89169,4.5,3,1,American
PWjgwphd2prhtqTPWwLbXw,"Sandwiches, Restaurants, Delis, Desserts, Food",Stage Deli Of Las Vegas,"3500 Las Vegas Blvd S, Ste E11",Las Vegas,NV,89109,3.5,28,0,American
