business_id,categories,name,address,city,state,postal_code,stars,review_count,is_open,TypeCusine
1RHY4K3BD22FK7Cfftn8Mg,"Sandwiches, Salad, Restaurants, Burgers, Comfort Food",Marathon Diner,"Center Core - Food Court, Fl 3, Pittsburgh International Airport",Pittsburgh,PA,15231,4.0,35,1,American
dQj5DLZjeDK3KFysh1SYOQ,"Nightlife, Bars, Polish, Modern European, Restaurants, Vegan",Apteka,4606 Penn Ave,Pittsburgh,PA,15224,4.5,242,1,European
v-scZMU6jhnmV955RSzGJw,"Japanese, Sushi Bars, Restaurants",No. 1 Sushi Sushi,436 Market St,Pittsburgh,PA,15222,4.5,106,1,Japanese
t-6tdxRaz7s9a0sf94Tguw,"Restaurants, Caribbean",Impressionz,6008 Broad St,Pittsburgh,PA,15206,4.5,29,0,Caribbean
5WMIvoMx3l1vn1uJ3HZB6Q,"Fast Food, Sandwiches, Restaurants",Subway,411 7th Ave,Pittsburgh,PA,15219,3.0,3,1,American
q4P3WHwC0lFafwvTlkKMIw,"Restaurants, Pizza",Ron's Pizza Palace,1535 Lowrie St,Pittsburgh,PA,15212,3.0,6,1,American
hZj2HCiLae5-AxIp0im6lQ,"Bars, Nightlife, Restaurants, American (Traditional)",Route 28 Bar & Grille,180 Gamma Dr,Pittsburgh,PA,15238,2.5,7,1,American
F6c3D1o9Z4Tl6cDorb3WgA,"Burgers, Restaurants, Cafes, Salad, Sandwiches",Hello Bistro,701 Providence Blvd,Pittsburgh,PA,15237,3.5,75,1,American
nm5yx8yvJNJYVjaRPwjnsw,"Buffets, Restaurants",Misaki,860 Saw Mill Run Blvd,Pittsburgh,PA,15226,3.0,44,0,American
hZzwkAJG92KkszWO8PoOQA,"Fast Food, Sandwiches, Restaurants",Fernando's,2 Ppg Pl Food Ct,Pittsburgh,PA,15222,4.0,7,0,American
hOv0yRX4Km89-7vJuzPteg,"Cafes, Nightlife, Restaurants, Bars, Pubs",Spice Cafe,328 Atwood St,Pittsburgh,PA,15213,4.5,7,0,American
i68lkBrGgUVwOk-LSvMj_A,"Pakistani, Indian, Restaurants, Food",Sree's Foods,116 Meyran Ave,Pittsburgh,PA,15213,3.0,8,1,Indian
UmFty_GxdqVe35apYnmGbw,"Pizza, Restaurants",Showcase Pizza,109 Curry Hollow Rd,Pittsburgh,PA,15236,3.0,8,1,American
JrrY4v21k7_qYxIidhi-aw,"Lounges, Nightlife, American (Traditional), Bars, Restaurants",Kelly's Bar & Lounge,6012 Penn Cir S,Pittsburgh,PA,15206,3.5,166,1,American
BpJDI4Fj92lLNALQQeLvLg,"Pizza, Sandwiches, Salad, Restaurants",Slice On Broadway,115 Federal St,Pittsburgh,PA,15212,4.0,43,1,American
_WsGlZnbXBdPcs0qM2Qm7w,"Restaurants, Barbeque, Bars, Pubs, Burgers, Nightlife",Ryan's Pub,607 S Braddock Ave,Pittsburgh,PA,15221,3.0,18,0,American
IcHVYlgNGR-Zz8fnceiJ6g,"Restaurants, American (Traditional), Bars, Nightlife",The Monkey Bar,703 Clairton Blvd,Pittsburgh,PA,15236,4.0,26,1,American
sMzNLdhJZGzYirIWt-fMAg,"Cocktail Bars, Italian, American (New), Nightlife, Bars, Pizza, Restaurants",Sienna Mercato,942 Penn Ave,Pittsburgh,PA,15222,4.0,752,1,Italian
rGdaD3j8leOCI0zz3g5Beg,"Hot Dogs, Restaurants",Steves New York Hotdog Shop,1110 Federal St,Pittsburgh,PA,15212,5.0,5,0,American
FKQUxOfW_W5R4OTut4G1Vw,"Restaurants, Sandwiches",Peppi's,12 Smithfield St,Pittsburgh,PA,15222,4.0,37,1,American
Gp8_vPUZBncqy4Fwc8ga7A,"Restaurants, Fast Food",Go Pretzel,807 Liberty Ave,Pittsburgh,PA,15222,3.5,13,0,American
nxeeZnumQkrEFORtFpwSvA,"Nightlife, Restaurants, Bars, Burgers, Delis",Tavern In The Wall,211 Commercial Ave,Pittsburgh,PA,15215,3.5,28,1,American
K0dp91jd_vqW4uNgvW6oag,"Restaurants, Breakfast & Brunch",Valliant's Diner,3418 Babcock Blvd,Pittsburgh,PA,15237,3.0,32,1,American
JGXkldESnG69YXlSNVAgJQ,"Restaurants, American (Traditional), Nightlife, Bars",Eggheads,1162 Brookline Blvd,Pittsburgh,PA,15226,2.0,3,1,American
eU_713ec6fTGNO4BegRaww,"Restaurants, Italian, Pizza",La Tavola Italiana,1 Boggs Ave,Pittsburgh,PA,15211,3.5,132,1,Italian
zzwhN7x37nyjP0ZM8oiHmw,"Restaurants, American (New)",Carmody's Grille,4905 Grand Ave,Pittsburgh,PA,15225,4.0,54,1,American
jAQwIRxZNj2zndM5V9UOpw,"Restaurants, Country Clubs, Arts & Entertainment, Active Life, Golf",Pittsburgh Field Club,121 Field Club Rd,Pittsburgh,PA,15238,3.5,5,1,American
R19oiRejCcgRzbeYz2UQig,"Pizza, Food Stands, Sandwiches, Restaurants, Breakfast & Brunch",City Oven,3025 Banksville Rd,Pittsburgh,PA,15216,4.0,10,0,American
GD0XvS6HlCuDjtCDWiLkVQ,"Vegetarian, Restaurants, Food, Coffee & Tea",Kiva Han,420 S Craig St,Pittsburgh,PA,15289,3.0,35,0,American
c9UmJiX2G7hKMpivZ3h1oQ,"Gluten-Free, Italian, Chicken Wings, Restaurants, Vegan, Pizza, Vegetarian","Pastoli's Pizza, Pasta & Paisans",1900 Murray Ave,Pittsburgh,PA,15217,4.5,96,1,Italian
0VDcJitRHh5uJnkjymu_6A,"American (Traditional), Nightlife, Pubs, Bars, Restaurants",Fox & Hound English Pub & Grille,"8000 McKnight Rd, Ste 2002",Pittsburgh,PA,15237,2.0,26,0,American
jd1rD7jr-_zI46Oxh5lDLA,"Restaurants, Italian, Pizza",Antoon's Pizza,247 Atwood St,Pittsburgh,PA,15213,3.5,24,1,Italian
09pf_DnQV5Y5y2reoIPXlw,"Restaurants, American (New), Bars, Sports Bars, Sandwiches, Nightlife",Primanti Bros,5491 Penn Ave,Pittsburgh,PA,15206,3.5,36,1,American
B1dCyA21u1mG1bcrq9TTYg,"Restaurants, Chicken Wings, Seafood, Fish & Chips",Hook Fish & Chicken,11644 Frankstown Rd,Pittsburgh,PA,15235,3.0,11,1,American
V2TaLceKiGwy-y7bAGzPuQ,"Restaurants, Italian, Pizza, Chicken Wings",Pizza Hut,4048 Beechwood Blvd,Pittsburgh,PA,15217,1.5,3,0,Italian
#NAME?,"Restaurants, American (Traditional), Bars, Nightlife, Seafood, Wine Bars, American (New)",Savoy,2623 Penn Ave,Pittsburgh,PA,15222,3.5,138,1,American
R-GbmmHHfAyPo1qs4jo0TA,"Italian, Restaurants, Bars, Nightlife, Beer Gardens",Il Tetto:  A Rooftop Beer Garden,"942 Penn Ave, Fl 3",Pittsburgh,PA,15222,3.0,77,1,Italian
FE135tFrIhxrtAkf6-A1Rw,"Restaurants, American (Traditional), Fast Food, Burgers",Hardee's,1201 N Ave,Pittsburgh,PA,15209,4.0,22,1,American
z4CYPDxL_L74GnaD35a9Yw,"Noodles, Restaurants, Japanese, Ramen",Zen's Noodle House,3531 Forbes Ave,Pittsburgh,PA,15213,3.5,77,1,Japanese
TYZIMuHwhZo_Hizenmf8Pg,"Restaurants, Nightlife, Bars, American (New)",BZ's Bar and Grill,140 Federal St,Pittsburgh,PA,15212,3.0,79,0,American
by7BOr074_BKz7hkRIi9WQ,"Pizza, Restaurants",Sammy's Place,2350 Noblestown Rd,Pittsburgh,PA,15205,3.5,14,1,American
lK_iVjCur58if_XcbENGqg,"Pizza, Restaurants",Don Campiti's Pizzeria,1509 Potomac Ave,Pittsburgh,PA,15216,4.0,54,1,American
hNmSL-HfN_IdPlWXP1ILEw,"Mediterranean, Sandwiches, Delis, Restaurants, Pizza",New Way Gourmet,3832 Penn Ave,Pittsburgh,PA,15201,4.5,9,0,Mediterranean
b6vi3Ub0tbGzGtG-pVgJfQ,"Bakeries, Restaurants, Food",Dana's Bakery,720 N Homewood Ave,Pittsburgh,PA,15208,4.5,9,1,American
Xdoqt46KMRBiaWWMa41m1A,"Pubs, Pizza, Chicken Wings, American (Traditional), Beer, Wine & Spirits, Restaurants, Bars, Food, Nightlife",The Coal Mine,3160 Library Rd,Pittsburgh,PA,15234,4.0,4,1,American
5crOt_2vpHfFeGOrEeROQA,"Pizza, Restaurants, American (Traditional), Food, Coffee & Tea, Desserts, American (New), Breakfast & Brunch",Brunoise Restaurant,54 21st St,Pittsburgh,PA,15222,4.5,18,0,American
L0DJ7-GUDMLIlIR-7vykvQ,"Flowers & Gifts, Gift Shops, Shopping, Italian, Cooking Classes, Restaurants, Arts & Crafts",Merante's Gifts,4723 Liberty Ave,Pittsburgh,PA,15224,4.5,15,1,Italian
0IfrcGbFzQvn9w8bl9GKDg,"Restaurants, Food, Sandwiches, Juice Bars & Smoothies, Salad, Burgers",North Hills Grill,"96 Rochester Rd, 1st floor",Pittsburgh,PA,15229,4.5,39,0,American
PbOQlLSloU5Zkpth5I3cjA,"Restaurants, Pizza",Vocelli Pizza,617 Brownsville Rd,Pittsburgh,PA,15210,4.5,7,1,American
Qs5fQqmc_yWmgZjHcadU7g,"Sandwiches, Restaurants, Diners",Rudy Martino Original House of Submarines,1918 Monongahela Ave,Pittsburgh,PA,15218,5.0,9,1,American
FJoXrkLaLh76MgHXKdJJFw,"American (Traditional), Nightlife, Bars, Restaurants",Someone Else's Bar,3841 Willow Ave,Pittsburgh,PA,15234,4.0,69,1,American
2EhBiUnUTl_H2s4DXdKCTg,"Bistros, American (New), Restaurants",Bistro 19,711 Washington Rd,Pittsburgh,PA,15228,4.0,163,1,American
MfgewgMdqCx_JWk--6PgfA,"Nightlife, Bars, Burgers, American (Traditional), Restaurants",Kretzler's Tavern,2240 Babcock Blvd,Pittsburgh,PA,15237,3.0,59,1,American
cfjkP0icF3wdaOJQJUy9sw,"Fast Food, Restaurants, Burgers",Wendy's,5422 Baum Blvd,Pittsburgh,PA,15232,2.0,37,1,American
X2lgI8CuVEsH5UDs14rMhw,"Bars, Nightlife, Restaurants, Jazz & Blues, Cocktail Bars, Wine Bars, Arts & Entertainment",Andys Wine Bar,510 Market Street,Pittsburgh,PA,15222,3.5,61,1,American
gomzC2CMt6MD_ykOSGwdDA,"Restaurants, Japanese, Sushi Bars",Sushi Tomo,4812 McKnight Rd,Pittsburgh,PA,15237,4.0,117,1,Japanese
